"Date" "HomeTeam" "AwayTeam" "FTHG" "FTAG" "FTR"
"1" "28/08/10" "Hercules" "Ath Bilbao" 0 1 "A"
"2" "28/08/10" "Levante" "Sevilla" 1 4 "A"
"3" "28/08/10" "Malaga" "Valencia" 1 3 "A"
"4" "29/08/10" "Espanol" "Getafe" 3 1 "H"
"5" "29/08/10" "La Coruna" "Zaragoza" 0 0 "D"
"6" "29/08/10" "Mallorca" "Real Madrid" 0 0 "D"
"7" "29/08/10" "Osasuna" "Almeria" 0 0 "D"
"8" "29/08/10" "Santander" "Barcelona" 0 3 "A"
"9" "29/08/10" "Sociedad" "Villarreal" 1 0 "H"
"10" "30/08/10" "Ath Madrid" "Sp Gijon" 4 0 "H"
"11" "11/09/10" "Ath Bilbao" "Ath Madrid" 1 2 "A"
"12" "11/09/10" "Barcelona" "Hercules" 0 2 "A"
"13" "11/09/10" "Real Madrid" "Osasuna" 1 0 "H"
"14" "11/09/10" "Valencia" "Santander" 1 0 "H"
"15" "12/09/10" "Getafe" "Levante" 4 1 "H"
"16" "12/09/10" "Sevilla" "La Coruna" 0 0 "D"
"17" "12/09/10" "Sp Gijon" "Mallorca" 2 0 "H"
"18" "12/09/10" "Villarreal" "Espanol" 4 0 "H"
"19" "12/09/10" "Zaragoza" "Malaga" 3 5 "A"
"20" "13/09/10" "Almeria" "Sociedad" 2 2 "D"
"21" "18/09/10" "Espanol" "Almeria" 1 0 "H"
"22" "18/09/10" "Mallorca" "Osasuna" 2 0 "H"
"23" "18/09/10" "Sociedad" "Real Madrid" 1 2 "A"
"24" "18/09/10" "Sp Gijon" "Ath Bilbao" 2 2 "D"
"25" "19/09/10" "Ath Madrid" "Barcelona" 1 2 "A"
"26" "19/09/10" "Hercules" "Valencia" 1 2 "A"
"27" "19/09/10" "Levante" "Villarreal" 1 2 "A"
"28" "19/09/10" "Malaga" "Sevilla" 1 2 "A"
"29" "19/09/10" "Santander" "Zaragoza" 2 0 "H"
"30" "20/09/10" "La Coruna" "Getafe" 2 2 "D"
"31" "21/09/10" "Ath Bilbao" "Mallorca" 3 0 "H"
"32" "21/09/10" "Osasuna" "Sociedad" 3 1 "H"
"33" "21/09/10" "Real Madrid" "Espanol" 3 0 "H"
"34" "22/09/10" "Almeria" "Levante" 0 1 "A"
"35" "22/09/10" "Barcelona" "Sp Gijon" 1 0 "H"
"36" "22/09/10" "Valencia" "Ath Madrid" 1 1 "D"
"37" "22/09/10" "Zaragoza" "Hercules" 0 0 "D"
"38" "23/09/10" "Getafe" "Malaga" 0 2 "A"
"39" "23/09/10" "Sevilla" "Santander" 1 1 "D"
"40" "23/09/10" "Villarreal" "La Coruna" 1 0 "H"
"41" "25/09/10" "Ath Bilbao" "Barcelona" 1 3 "A"
"42" "25/09/10" "Levante" "Real Madrid" 0 0 "D"
"43" "25/09/10" "Sp Gijon" "Valencia" 0 2 "A"
"44" "26/09/10" "Ath Madrid" "Zaragoza" 1 0 "H"
"45" "26/09/10" "Espanol" "Osasuna" 1 0 "H"
"46" "26/09/10" "Hercules" "Sevilla" 2 0 "H"
"47" "26/09/10" "La Coruna" "Almeria" 0 2 "A"
"48" "26/09/10" "Mallorca" "Sociedad" 2 0 "H"
"49" "26/09/10" "Santander" "Getafe" 0 1 "A"
"50" "27/09/10" "Malaga" "Villarreal" 2 3 "A"
"51" "02/10/10" "Sociedad" "Espanol" 1 0 "H"
"52" "02/10/10" "Valencia" "Ath Bilbao" 2 1 "H"
"53" "02/10/10" "Zaragoza" "Sp Gijon" 2 2 "D"
"54" "03/10/10" "Almeria" "Malaga" 1 1 "D"
"55" "03/10/10" "Barcelona" "Mallorca" 1 1 "D"
"56" "03/10/10" "Getafe" "Hercules" 3 0 "H"
"57" "03/10/10" "Osasuna" "Levante" 1 1 "D"
"58" "03/10/10" "Real Madrid" "La Coruna" 6 1 "H"
"59" "03/10/10" "Sevilla" "Ath Madrid" 3 1 "H"
"60" "03/10/10" "Villarreal" "Santander" 2 0 "H"
"61" "16/10/10" "Ath Madrid" "Getafe" 2 0 "H"
"62" "16/10/10" "Barcelona" "Valencia" 2 1 "H"
"63" "16/10/10" "Malaga" "Real Madrid" 1 4 "A"
"64" "17/10/10" "Ath Bilbao" "Zaragoza" 2 1 "H"
"65" "17/10/10" "La Coruna" "Osasuna" 0 0 "D"
"66" "17/10/10" "Levante" "Sociedad" 2 1 "H"
"67" "17/10/10" "Mallorca" "Espanol" 0 1 "A"
"68" "17/10/10" "Santander" "Almeria" 1 0 "H"
"69" "17/10/10" "Sp Gijon" "Sevilla" 2 0 "H"
"70" "18/10/10" "Hercules" "Villarreal" 2 2 "D"
"71" "23/10/10" "Real Madrid" "Santander" 6 1 "H"
"72" "23/10/10" "Valencia" "Mallorca" 1 2 "A"
"73" "23/10/10" "Zaragoza" "Barcelona" 0 2 "A"
"74" "24/10/10" "Almeria" "Hercules" 1 1 "D"
"75" "24/10/10" "Espanol" "Levante" 2 1 "H"
"76" "24/10/10" "Getafe" "Sp Gijon" 3 0 "H"
"77" "24/10/10" "Osasuna" "Malaga" 3 0 "H"
"78" "24/10/10" "Sevilla" "Ath Bilbao" 4 3 "H"
"79" "24/10/10" "Villarreal" "Ath Madrid" 2 0 "H"
"80" "25/10/10" "Sociedad" "La Coruna" 3 0 "H"
"81" "30/10/10" "Barcelona" "Sevilla" 5 0 "H"
