Movie Title,Year of Realease,Genre,Movie Rating,Duration(Mins),Gross(Million),Classification
Avatar,2009,"Action,Adventure,Fantasy",7.8,162,760.51,A
Avengers: Endgame,2019,"Action,Adventure,Drama",8.4,181,858.37,C
Titanic,1997,"Drama,Romance",7.9,194,659.33,B15
Star Wars: Episode VII - The Force Awakens,2015,"Action,Adventure,Sci-Fi",7.8,138,936.66,B
Avengers: Infinity War,2018,"Action,Adventure,Sci-Fi",8.4,149,678.82,AA
Spider-Man: No Way Home,2021,"Action,Adventure,Fantasy",8.3,148,804.75,D
Jurassic World,2015,"Action,Adventure,Sci-Fi",6.9,124,652.27,B
The Lion King,2019,"Animation,Adventure,Drama",6.8,118,543.64,A
The Avengers,2012,"Action,Adventure,Sci-Fi",8,143,623.28,B
Fast & Furious 7,2015,"Action,Crime,Thriller",7.1,137,353.01,B15
Frozen II,2019,"Animation,Adventure,Comedy",6.8,103,477.37,A
Top Gun: Maverick,2022,"Action,Drama",8.4,130,125.37,A
Avengers: Age of Ultron,2015,"Action,Adventure,Sci-Fi",7.3,141,459.01,B
Black Panther,2018,"Action,Adventure,Sci-Fi",7.3,134,700.06,D
Harry Potter and the Deathly Hallows: Part 2,2011,"Adventure,Family,Fantasy",8.1,130,381.01,B
Star Wars: Episode VIII - The Last Jedi,2017,"Action,Adventure,Fantasy",6.9,152,620.18,C
Jurassic World: Fallen Kingdom,2018,"Action,Adventure,Sci-Fi",6.1,128,417.72,D
Frozen,2013,"Animation,Adventure,Comedy",7.4,102,400.74,B
Beauty and the Beast,2017,"Adventure,Family,Fantasy",7.1,129,504.01,A
Incredibles 2,2018,"Animation,Action,Adventure",7.6,118,608.58,C
The Fate of the Furious,2017,"Action,Crime,Thriller",6.6,136,226.01,C
Iron Man Three,2013,"Action,Adventure,Sci-Fi",7.1,130,409.01,C
Minions,2015,"Animation,Adventure,Comedy",6.4,91,336.05,B15
Captain America: Civil War,2016,"Action,Adventure,Sci-Fi",7.8,147,408.08,C
